34
0 0.22375 280.816 1270 2338.66 -0.157 -0.157 0 
2 7.75 72.5 1270 -200 0 3.14 0 
1 1.09 -131.437 1270 1068.84 0 0 0 
3 4.555 -5765.94 1270 -2686.98 0 0 0 
3 4.67875 -5735.92 1270 -2948.96 0 0 0 
3 4.555 -5733.93 1270 -3230.12 0 0 0 
4 5.545 2494.11 1270 1548.78 0 0 0 
4 5.545 2850.26 1270 1635.77 0 0 0 
4 5.545 3206.71 1270 1810.49 0 0 0 
4 5.545 3607.07 1270 1991.38 0 0 0 
4 5.545 3999.41 1270 2218.99 0 0 0 
4 5.545 4378.44 1270 2487.41 0 0 0 
4 5.545 4633.8 1270 2191.85 0 0 0 
4 5.545 4311.64 1270 1975.88 0 0 0 
4 5.545 3900.59 1270 1783.45 0 0 0 
4 5.545 3497.07 1270 1564.77 0 0 0 
4 5.545 3079.55 1270 1369.53 0 0 0 
4 5.545 2737.94 1270 1252.73 0 0 0 
5 5.545 2577.92 1270 380.678 0 0 0 
6 1.70875 3148.03 1270 211.336 0 0 0 
7 1.70875 4469.45 1270 180.527 0 0 0 
8 1.70875 5448.47 1270 376.878 0 0 0 
9 10 6388.03 1250 -254.329 0 0 0 
10 2.08 4502.59 1270 3975.73 0 0 0 
11 7.15375 6134.43 1270 6701.06 0 0 0 
11 7.15375 6411.47 1270 6569.52 0 0 0 
11 7.15375 6503.04 1270 6718.57 0 0 0 
11 7.15375 6737.34 1270 5901.28 0 0 0 
11 7.15375 7000.61 1270 6032.73 0 0 0 
11 7.15375 7392.48 1270 6103.75 0 0 0 
11 7.15375 7255.92 1270 5538.65 0 0 0 
11 7.15375 6638.21 1270 5290.76 0 0 0 
12 10 6197.31 1270 5056.05 0 0 0 
15 10 -2285.99 1270 160.626 0 0 0 
